商品名称	单位
组合笔筒	套
自粘性标贴	包
自封袋34*45 /100只	包
自动铅笔芯HB	盒
自动铅笔芯2B	盒
自动铅笔芯	盒
自动号码机	个
资料册文件夹	个
资料册	个
装订绳	包
装订机装订管	盒
装订机	套
转笔刀	个
中号燕尾夹	盒
纸杯	包
纸杯	只
纸杯	袋
直尺50CM（钢）	把
直尺20CM（钢）	把
照片纸	包
长尾夹（特大号）	个
长条抹布	块
长条抹布	条
窄条便签纸	本
原子印油	个
萤光笔	个
荧光指示贴	包
荧光指示贴	个
荧光便签纸	本
荧光笔	盒
荧光笔	支
印油	个
移动硬盘盒	个
移动硬盘包	个
移动硬盘	个
一次性PVC乳胶手套	盒
燕尾夹	盒
旋转拖把	套
小米无线鼠标	个
小号燕尾夹	盒
橡皮擦	盒
橡皮	个
无线鼠标	个
无线鼠标	只
无线键盘鼠标	个
无线键盘鼠标	套
无线键盘	个
文件整理架	套
文件粘钩	盒
文件收纳柜	个
文件架	个
维达商务盒装抽纸	盒
维达商务抽纸	个
维达盒装抽纸	盒
维达抽纸盒	盒
网线超五类5M	根
透明窄胶带	卷
透明宽胶带	卷
透明按扣文件袋	个
特级A4打印纸	箱
探针式温度计	个
炭包	箱
台历	个
索引标签贴纸	个
四联文件框 	个
四联文件框	个
水杯	个
双面胶	卷
数位板	个
书立	套
手提文件袋	个
手提帆布文件包	个
收纳圈	个
商务自动雨伞	把
商务自动铅笔	支
商务自动铅笔	只
商务优盘	个
商务签字笔	盒
商务美工刀	把
商务垃圾桶	个
商务胶棒	只
商务胶棒	
商务记号笔	盒
商务高速移动硬盘	个
商务高容量白板笔	盒
商务笔记本屏幕	个
商务笔记本电脑包	个
商务笔记本包	个
商务笔记本	本
商务笔袋	套
商务白板	套
商务16G高速优盘	个
扫把簸箕	套
三层横向文件盘	只
软皮A5笔记本	个
曲别针	盒
强力夹	个
铅笔	只
铅笔	盒
铅笔	支
起钉器	个
启钉器	个
企业千兆无线路由器	台
派通签字笔	盒
派克笔	套
南韩胶棒	盒
南孚7号电池	只
南孚5号电池	只
抹布 75*35两条装	包
秒干印油	个
秒干印台	个
铝合金创意支架	套
罗技无线鼠标键盘	个
罗技无线鼠标键盘	套
罗技无线鼠标	个
罗技无线键盘鼠标套装	套
罗技无线键盘鼠标	套
联想小新网卡	个
联想网卡	个
蓝色档案盒	个
蓝色布纹A4拉链袋	个
垃圾桶	个
垃圾袋	包
快干印油	个
口取纸（蓝红各3包）	包
空白本	套
可水洗彩色笔（24色）	套
科学计算器	个
卡西欧工程计算器	只
卡西欧工程计算器	个
九格收纳盒	个
进口牛皮纸档案袋 	个
交换机	台
剪刀	把
加厚进口牛皮纸档案袋	个
加厚订书针	盒
加厚档案盒	个
加厚档案盒	只
加厚抽杆夹	个
加厚A4蓝色塑料档案盒	个
会议软面本	本
会议签字笔	盒
回形针	盒
环保鼠标垫（大）	个
环保鼠标垫	个
红色商务签字笔	盒
盒装抽纸	盒
光敏印油	个
挂壁式温湿度计	个
固体胶棒	支
固体胶棒	个
固体胶棒	只
固态硬盘	个
公牛中号插线板	个
公牛大号插线板	个
公牛USB插线板	个
工字钉	盒
高速无线网卡	套
高速USB分线器HUB	个
高速USB分线器	个
高容量笔芯	盒
高清转换器	套
高清HDMI转换器	套
钢卷尺	个
分类文件整理柜	套
飞利浦电话机	个
多功能文件座	套
多功能拖把	套
多功能尺子	套
订书针（小号）B3057	盒
订书机（省力型）	个
订书钉	盒
电话线	根
电话对接头	个
电动卷笔刀	个
电动抽水器	套
得力转笔刀	个
得力荧光膜指示贴	包
得力小号铝合金美工刀	把
得力小号计算器	个
得力橡皮	个
得力文件座	个
得力透明A4拉链袋	个
得力手提袋	个
得力省力订书机	只
得力省力订书机	个
得力签字笔按压型	盒
得力铅笔	盒
得力拉链文件袋	个
得力胶棒	支
得力加厚档案盒	个
得力记号笔	支
得力计算器	个
得力极细签字笔	支
得力回形针	盒
得力钢卷尺	个
得力多页资料册	个
得力弹力橡皮筋	包
得力大号计算器	个
得力抽拉杆文件夹	包
得力笔记本支架	个
得力8591推夹器1个 	套
得力6色荧光笔套装	套
大力回形针（大号）	盒
大卷垃圾袋	卷
大卷垃圾袋	包
大号资料册	个
大号证件套	个
大号印台	个
大号燕尾夹	盒
大号文件帆布袋	个
大号宽胶带	个
大号剪刀	把
大号绘图工具包	个
大号磁扣	盒
大号插座板	个
打孔器	个
抽杆夹（只要白色）	个
抽杆夹	个
成文厚银行账本	本
晨光商务签字笔	支
晨光商务高容量签字笔	支
晨光商务高容量签字笔	只
晨光签字笔	盒
晨光签字笔	支
超五类网线	根
彩色荧光笔	支
彩色荧光笔	盒
彩色曲别针	盒
彩色加厚A4纸	包
彩色A4纸	包
裁纸器	个
财务签字笔	支
财务签字笔	盒
不锈钢暖壶	个
不干胶打印纸	包
便签纸	本
便签纸	包
便利贴	包
笔筒	个
笔记本散热底座	个
笔记本电源	个
笔记本电脑支架	个
笔记本电脑包	个
办公文件柜	个
办公垃圾袋	包
办公剪刀 	把
办公剪刀	把
办公电话线	个
办公抽纸	盒
板擦	个
百事贴7151	包
百事贴 便签纸	本
百事贴	包
百乐签字笔	盒
百乐Juice Up笔	支
白板笔	盒
按扣文件袋	个
USB千兆网卡	套
USB高速扩展器	套
TP wifi接收器	个
Thinkpad笔记本电源	个
Thinkpad 网卡	个
Think 固态硬盘	个
L型文件夹	个
L型文件夹	包
HP墨盒	个
HP M427双面定影器	套
HP M281彩色硒鼓	只
HP M227定影器	套
HP 88A硒鼓	只
HDMI转换器	套
HDMI高清线	套
HDMI高清线	根
DP转换器	个
DELL多功能转换器	套
A5商务笔记本	个
A5软面本40页	本
A4文件夹板	个
A4文件袋手提文件包	个
A4透明网格拉链袋	个
A4拉边袋	个
A4加厚牛皮档案袋	个
9V电池	个
7号电池 	只
7号电池	只
64G商务优盘	个
64G高速优盘	个
5米钢卷尺	个
5号电池 	只
45*50大卷垃圾袋	卷
32G高速优盘	个
32G高速商务优盘	只
16G高速优盘	只
16G高速优盘	个
16G高速盘	个
14寸笔记本电脑包	个
128G高速商务优盘	只
